0it [00:00, ?it/s]0.035797037
1it [01:28, 88.31s/it]0.028786952
2it [02:30, 73.05s/it]0.027175313
3it [03:03, 54.49s/it]0.025955953
4it [03:31, 44.23s/it]0.02506466
5it [05:56, 80.40s/it]0.03137139
6it [09:43, 130.40s/it]0.031810615
7it [10:53, 110.57s/it]0.033823643
8it [12:40, 109.54s/it]0.033981375
9it [13:15, 86.30s/it] 0.035562057
10it [14:38, 85.31s/it]0.035211317
11it [15:09, 68.65s/it]0.034765396
12it [15:43, 58.14s/it]0.034278326
13it [16:37, 56.82s/it]0.034188624
14it [17:26, 54.33s/it]0.03394553
15it [17:56, 46.96s/it]0.034680773
16it [19:21, 58.61s/it]0.0341825
17it [20:08, 55.03s/it]0.03399271
18it [20:43, 48.99s/it]0.034726292
19it [21:36, 50.34s/it]0.035104733
20it [22:32, 51.97s/it]0.035978712
21it [23:16, 49.40s/it]0.03611247
22it [23:51, 45.23s/it]0.036355153
23it [24:40, 46.24s/it]0.037525054
24it [25:55, 54.91s/it]0.03868575
25it [26:44, 53.15s/it]0.038914632
26it [27:00, 41.94s/it]0.039161816
27it [27:16, 34.17s/it]0.039759368
28it [27:47, 33.41s/it]0.03987746
29it [28:04, 28.39s/it]0.040318273
30it [28:28, 27.08s/it]0.040602025
31it [28:49, 25.09s/it]0.0409299
32it [29:04, 22.08s/it]0.041606918
33it [29:32, 24.06s/it]0.041863136
34it [29:47, 21.34s/it]0.04207896
35it [30:06, 20.52s/it]0.04256382
36it [30:43, 25.59s/it]0.042715892
37it [30:58, 22.41s/it]0.043192457
38it [31:21, 22.55s/it]0.044093996
39it [31:41, 21.75s/it]0.044378195
40it [31:56, 19.84s/it]0.04461672
41it [32:13, 18.78s/it]0.04688177
42it [33:02, 27.86s/it]0.047331497
43it [33:17, 24.05s/it]0.04753469
44it [33:35, 22.19s/it]0.04860694
45it [34:12, 26.61s/it]0.048798993
46it [34:42, 27.81s/it]0.04910749
47it [34:57, 23.94s/it]0.04969587
48it [35:14, 21.68s/it]0.050312508
49it [35:32, 20.60s/it]0.050556112
50it [35:54, 20.99s/it]0.051074937
51it [36:12, 20.35s/it]0.051253185
52it [36:28, 18.97s/it]0.051331494
53it [36:52, 20.42s/it]0.05158093
54it [37:21, 23.11s/it]0.051907446
55it [37:37, 20.81s/it]0.0522152
56it [37:54, 19.66s/it]0.052931633
57it [38:15, 20.06s/it]0.05303347
58it [38:40, 21.60s/it]0.05361414
59it [38:55, 19.71s/it]0.05463537
60it [39:23, 22.15s/it]0.055116046
61it [39:48, 22.96s/it]0.055451993
62it [40:03, 20.72s/it]0.055592377
63it [40:25, 21.04s/it]0.05599496
64it [40:56, 24.10s/it]0.056127824
